Datum,Artikel,Kategorie,Preis,Shop
23.08.2025,Bio Bananen (0.378 kg),Lebensmittel,0.75,Penny
23.08.2025,Vollkorn Sandwich,Lebensmittel,1.09,Penny
23.08.2025,Heidelbeere 300g,Lebensmittel,2.99,Penny
23.08.2025,Nuss-Mix,Snacks/Süßes,2.99,Penny
23.08.2025,Gemüsezwiebeln,Lebensmittel,1.69,Penny
23.08.2025,Knoblauch,Lebensmittel,0.99,Penny
23.08.2025,Paprika rot,Lebensmittel,1.69,Penny
23.08.2025,Kölln Schoko Müs,Snacks/Süßes,2.49,Penny
23.08.2025,Olivenöl,Lebensmittel,4.99,Penny
23.08.2025,San Fabio Sauce,Lebensmittel,1.49,Penny
23.08.2025,Barilla Rustico,Lebensmittel,1.89,Penny
23.08.2025,Penny Tasche,Haushalt,1.99,Penny
30.08.2025,Ingwer Bio (0.136 kg),Lebensmittel,0.67,Lidl
30.08.2025,Bananen Fairtrade (1.052 kg),Lebensmittel,1.78,Lidl
30.08.2025,Kiwi Gold,Lebensmittel,1.19,Lidl
30.08.2025,Avocado vorger.,Lebensmittel,0.69,Lidl
30.08.2025,Bio Möhren,Lebensmittel,1.49,Lidl
30.08.2025,Netzsack Saite,Lebensmittel,0.39,Lidl
30.08.2025,Zitronensäfte,Getränke,2.59,Lidl
30.08.2025,Blutorange Chili,Getränke,4.49,Lidl
30.08.2025,Hela Ketchup delikat,Lebensmittel,3.39,Lidl
30.08.2025,Heinz Ketchup zero,Lebensmittel,3.79,Lidl
30.08.2025,Delikat Mayonnaise,Lebensmittel,1.59,Lidl
30.08.2025,Klare Suppe mit Rind,Lebensmittel,3.89,Lidl
30.08.2025,Maggi Würze,Lebensmittel,2.49,Lidl
30.08.2025,Rinder-Brühe,Lebensmittel,0.99,Lidl
30.08.2025,Gemüse-Brühe,Lebensmittel,0.99,Lidl
30.08.2025,Löwensenf mittlelsch.,Lebensmittel,1.89,Lidl
30.08.2025,Barilla Spaghettini (2x),Lebensmittel,3.58,Lidl
30.08.2025,Barilla Fusilli (2x),Lebensmittel,3.58,Lidl
30.08.2025,Passierte Tomaten (24x),Lebensmittel,15.36,Lidl
30.08.2025,Gehackte Tomaten (24x),Lebensmittel,14.16,Lidl
30.08.2025,Erbsen sehr fein (12x),Lebensmittel,10.68,Lidl
30.08.2025,Sonnenmais (12x),Lebensmittel,11.88,Lidl
30.08.2025,Geschälte Tomaten (12x),Lebensmittel,6.60,Lidl
30.08.2025,Kokosnuss Mil Normal (12x),Lebensmittel,14.28,Lidl
30.08.2025,Kidney Bohnen (12x),Lebensmittel,8.28,Lidl
30.08.2025,Walnusskerne,Lebensmittel,2.99,Lidl
30.08.2025,Nuts Royal,Snacks/Süßes,1.09,Lidl
30.08.2025,Vollkorn Sandwich,Lebensmittel,1.69,Lidl
30.08.2025,Superfood Mexiko (2x),Lebensmittel,5.98,Lidl
30.08.2025,Pizzately M. Sauce,Lebensmittel,1.99,Lidl
30.08.2025,Mozzarella gerieben,Lebensmittel,1.99,Lidl
30.08.2025,Japanische Soja,Lebensmittel,0.99,Lidl
30.08.2025,Rama Margarine 60%lg,Lebensmittel,1.89,Lidl
30.08.2025,Bio Eier UK1 10er,Lebensmittel,3.39,Lidl
30.08.2025,Kamillentee,Getränke,0.89,Lidl
30.08.2025,Früchtemilch 70%,Getränke,1.75,Lidl
30.08.2025,Earl Anis Fenchel Tee,Getränke,1.19,Lidl
30.08.2025,Valensina Nektar ACE (6x),Getränke,8.70,Lidl
30.08.2025,Pfand 0.25l (6x),Getränke,1.50,Lidl
30.08.2025,Lipton Pfirsich Zero (6x),Getränke,7.74,Lidl
30.08.2025,Pfand 0.25l M (6x),Getränke,1.50,Lidl
30.08.2025,Funny Frisch ungarisch,Snacks/Süßes,1.99,Lidl
30.08.2025,Märchenwelt Sauer (2x),Snacks/Süßes,1.98,Lidl
30.08.2025,Spülmaschpflege,Haushalt,1.45,Lidl
30.08.2025,Colorwaschmittel,Haushalt,4.25,Lidl
30.08.2025,Kalkstopp Tabs,Haushalt,3.25,Lidl
30.08.2025,WS Spezial-Salz,Haushalt,0.80,Lidl
30.08.2025,Somat Ex.4in1ca.80AM,Haushalt,12.99,Lidl
30.08.2025,WC Rein. Power Lemon,Haushalt,0.95,Lidl
30.08.2025,Colgate Sens White A,Hygiene,4.89,Lidl
30.08.2025,Swiffer Starterset,Haushalt,4.49,Lidl
30.08.2025,Aluminiumfolie,Haushalt,2.89,Lidl
30.08.2025,Toilettenpapier 3lg.,Hygiene,3.77,Lidl
30.08.2025,Küchentücher 3-lagig,Haushalt,2.85,Lidl
